Sr#,PSID,Month,WMC,Division,District,Tehsil,Office,UC,Billing Category,Amount,Fine,Bill PDF,Channel,Paid Date,Paid Amount,Status,Active
357,26770110100905019738,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-20/Block No 1,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14743-area-5892-02-55-20.pdf,1Bill,"Nov 18, 2025",500,paid,1
358,26770110100905020233,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14854-area-5895-02-55-56.pdf,1Bill,"Nov 18, 2025",500,paid,1
359,26770110100905020152,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-20/Block No 1,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14745-area-5892-02-55-20.pdf,1Bill,"Nov 18, 2025",500,paid,1
360,26770110100905020067,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-20/Block No 1,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14745-area-5892-02-55-20.pdf,1Bill,"Nov 18, 2025",500,paid,1
361,26770110100905019718,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-20/Block No 1,Commercial Urban Small business,500,50,,1Bill,"Nov 17, 2025",500,paid,1
362,26770110100905018021,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-21/Satellite Town 02,Domestic Urban Upto 5 marla,300,30,,1Bill,"Nov 17, 2025",300,paid,1
363,26770110100905016663,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-25, Lukoo, Khushab",Domestic Rural Above 5 to 10 marla,420,42,,1Bill,"Nov 17, 2025",420,paid,1
364,26770110100905017841,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-21/Satellite Town 02,Domestic Urban Upto 5 marla,300,30,,1Bill,"Nov 17, 2025",300,paid,1
365,26770110100905017801,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-24, Roda, Khushab",Commercial Rural Small business,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14880-area-5462-02-56-06.pdf,1Bill,"Nov 17, 2025",300,paid,1
366,26770110100905015934,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-18, Chak 51 MB, Khushab",Domestic Rural Above 5 to 10 marla,420,42,,1Bill,"Nov 17, 2025",420,paid,1
367,26770110100905010478,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-18, Chak 51 MB, Khushab",Domestic Rural Above 5 to 10 marla,860,86,,1Bill,"Nov 17, 2025",860,paid,1
368,26770110100905020989,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-16, Sandral, Khushab",Domestic Rural Upto 5 marla,200,20,,1Bill,"Nov 17, 2025",200,paid,1
369,26770110100905018225,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-24, Roda, Khushab",Commercial Rural Small business,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14883-area-5462-02-56-07.pdf,1Bill,"Nov 17, 2025",300,paid,1
370,26770110100905010316,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-18, Chak 51 MB, Khushab",Domestic Rural Above 5 to 10 marla,860,86,,1Bill,"Nov 17, 2025",860,paid,1
371,26770110100905007267,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-25, Lukoo, Khushab",Domestic Rural Upto 5 marla,800,86,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-15010-area-5463-02-56-50.pdf,1Bill,"Nov 17, 2025",800,paid,1
372,26770110100905019249,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-20/Block No 1,Domestic Urban Upto 5 marla,300,30,,1Bill,"Nov 17, 2025",300,paid,1
373,26770110100905002122,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-25, Lukoo, Khushab",Domestic Rural Upto 5 marla,860,86,,1Bill,"Nov 17, 2025",860,paid,1
374,26770110100905020200,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,,1Bill,"Nov 17, 2025",500,paid,1
